Instance,Makespan,Solving Time
1,89,0.09677577018737793
2,86,0.06940245628356934
3,105,0.0567018985748291
4,108,0.1108698844909668
5,111,0.04847979545593262
6,99,0.06216073036193848
7,86,0.09435224533081055
8,108,0.0824897289276123
9,130,0.058281898498535156
10,118,0.06025242805480957
11,95,0.050545692443847656
12,113,0.09043693542480469
13,94,0.05077075958251953
14,103,0.05023336410522461
15,108,0.06853699684143066
16,107,0.04229021072387695
17,119,0.05832409858703613
18,113,0.052245140075683594
19,118,0.05056571960449219
20,97,0.09050536155700684
21,108,0.1005098819732666
22,98,0.07099795341491699
23,109,0.05126452445983887
24,120,0.1405792236328125
25,94,0.04995274543762207
26,111,0.04939007759094238
27,104,0.11242341995239258
28,105,0.13658380508422852
29,109,0.07158899307250977
30,126,0.04609179496765137
